order_id,order_date,customer_id,segment,category,sub_category,sales,quantity,profit
CA-2014-106376,12/5/2014,BS-11590,Corporate,Office Supplies,Art,1113.024,8,111.3024
CA-2014-106376,12/5/2014,BS-11590,Corporate,Technology,Phones,167.968,4,62.988
CA-2016-119823,6/4/2016,KD-16270,Consumer,Office Supplies,Paper,75.88,2,35.6636
CA-2016-106075,9/18/2016,HM-14980,Consumer,Office Supplies,Binders,4.616,1,1.731
CA-2017-114440,9/14/2017,TB-21520,Consumer,Office Supplies,Paper,19.05,3,8.763
US-2015-134026,4/26/2015,JE-15745,Consumer,Furniture,Chairs,831.936,8,-114.3912
US-2015-134026,4/26/2015,JE-15745,Consumer,Furniture,Furnishings,97.04,2,1.213
US-2015-134026,4/26/2015,JE-15745,Consumer,Office Supplies,Storage,72.784,1,-18.196
US-2017-118038,12/9/2017,KB-16600,Corporate,Office Supplies,Binders,1.248,3,-1.9344
US-2017-118038,12/9/2017,KB-16600,Corporate,Furniture,Furnishings,9.708,3,-5.8248
US-2017-118038,12/9/2017,KB-16600,Corporate,Office Supplies,Storage,27.24,3,2.724
US-2014-147606,11/26/2014,JE-15745,Consumer,Furniture,Furnishings,19.3,5,-14.475
CA-2016-127208,6/12/2016,SC-20770,Corporate,Office Supplies,Appliances,208.16,1,56.2032
CA-2016-127208,6/12/2016,SC-20770,Corporate,Office Supplies,Binders,16.74,3,8.0352
CA-2014-139451,10/12/2014,DN-13690,Consumer,Office Supplies,Art,14.9,5,4.172
CA-2014-139451,10/12/2014,DN-13690,Consumer,Office Supplies,Storage,21.39,1,6.2031
CA-2015-149734,9/3/2015,JC-16105,Corporate,Office Supplies,Envelopes,200.984,7,62.8075
US-2017-119662,11/13/2017,CS-12400,Home Office,Office Supplies,Storage,230.376,3,-48.9549
CA-2017-140088,5/28/2017,PO-18865,Consumer,Furniture,Chairs,301.96,2,33.2156
CA-2017-155558,10/26/2017,PG-18895,Consumer,Technology,Accessories,19.99,1,6.7966
CA-2017-155558,10/26/2017,PG-18895,Consumer,Office Supplies,Labels,6.16,2,2.9568
CA-2016-159695,4/5/2016,GM-14455,Home Office,Office Supplies,Storage,158.368,7,13.8572
CA-2016-109806,9/17/2016,JS-15685,Corporate,Office Supplies,Art,20.1,3,6.633
CA-2016-109806,9/17/2016,JS-15685,Corporate,Technology,Phones,73.584,2,8.2782
CA-2016-109806,9/17/2016,JS-15685,Corporate,Office Supplies,Paper,6.48,1,3.1104
CA-2015-149587,1/31/2015,KB-16315,Consumer,Office Supplies,Paper,12.96,2,6.2208
CA-2015-149587,1/31/2015,KB-16315,Consumer,Furniture,Furnishings,53.34,3,16.5354
CA-2015-149587,1/31/2015,KB-16315,Consumer,Office Supplies,Binders,32.96,2,16.1504
US-2017-109484,11/6/2017,RB-19705,Home Office,Office Supplies,Binders,5.682,1,-3.788
CA-2017-161018,11/9/2017,PN-18775,Home Office,Furniture,Furnishings,96.53,7,40.5426
CA-2017-157833,6/17/2017,KD-16345,Consumer,Office Supplies,Binders,51.312,3,17.9592
CA-2016-149223,9/6/2016,ER-13855,Corporate,Office Supplies,Appliances,77.88,6,22.5852
CA-2016-158568,8/29/2016,RB-19465,Home Office,Office Supplies,Paper,64.624,7,22.6184
CA-2016-158568,8/29/2016,RB-19465,Home Office,Technology,Accessories,95.976,3,-10.7973
CA-2016-158568,8/29/2016,RB-19465,Home Office,Office Supplies,Binders,1.788,3,-3.0396
CA-2016-129903,12/1/2016,GZ-14470,Consumer,Office Supplies,Paper,23.92,4,11.7208
US-2015-156867,11/13/2015,LC-16870,Consumer,Technology,Accessories,238.896,6,-26.8758
US-2015-156867,11/13/2015,LC-16870,Consumer,Furniture,Furnishings,102.36,3,-3.8385
US-2015-156867,11/13/2015,LC-16870,Consumer,Office Supplies,Binders,36.882,3,-25.8174
CA-2017-119004,11/23/2017,JM-15250,Consumer,Technology,Accessories,74.112,8,17.6016
CA-2017-119004,11/23/2017,JM-15250,Consumer,Technology,Phones,27.992,1,2.0994
CA-2017-119004,11/23/2017,JM-15250,Consumer,Office Supplies,Art,3.304,1,1.0738
CA-2015-129476,10/15/2015,PA-19060,Home Office,Technology,Accessories,339.96,5,67.992
CA-2017-146780,12/25/2017,CV-12805,Corporate,Furniture,Furnishings,41.96,2,10.9096
CA-2016-128867,11/3/2016,CL-12565,Consumer,Office Supplies,Art,75.96,2,22.788
CA-2016-128867,11/3/2016,CL-12565,Consumer,Office Supplies,Binders,27.24,6,13.3476
CA-2014-115259,8/25/2014,RC-19960,Consumer,Office Supplies,Fasteners,40.096,14,14.5348
CA-2014-115259,8/25/2014,RC-19960,Consumer,Office Supplies,Envelopes,4.72,2,1.652
CA-2014-115259,8/25/2014,RC-19960,Consumer,Office Supplies,Paper,23.976,3,7.4925
CA-2014-115259,8/25/2014,RC-19960,Consumer,Office Supplies,Envelopes,130.464,6,44.0316
CA-2015-110457,3/2/2015,DK-13090,Consumer,Furniture,Tables,787.53,3,165.3813
US-2015-136476,4/5/2015,GG-14650,Corporate,Office Supplies,Binders,157.794,1,-115.7156
CA-2016-103730,6/12/2016,SC-20725,Consumer,Furniture,Furnishings,47.04,3,18.3456
CA-2016-103730,6/12/2016,SC-20725,Consumer,Office Supplies,Binders,30.84,4,13.878
CA-2016-103730,6/12/2016,SC-20725,Consumer,Office Supplies,Storage,226.56,6,63.4368
CA-2016-103730,6/12/2016,SC-20725,Consumer,Office Supplies,Envelopes,115.02,9,51.759
CA-2016-103730,6/12/2016,SC-20725,Consumer,Technology,Phones,68.04,7,19.7316
US-2014-152030,12/26/2014,AD-10180,Home Office,Furniture,Chairs,600.558,3,-8.5794
US-2014-134614,9/20/2014,PF-19165,Consumer,Furniture,Tables,617.7,6,-407.682
US-2017-107272,11/5/2017,TS-21610,Consumer,Office Supplies,Binders,2.388,2,-1.8308
US-2017-107272,11/5/2017,TS-21610,Consumer,Office Supplies,Storage,243.992,7,30.499
US-2016-125969,11/6/2016,LS-16975,Home Office,Furniture,Chairs,81.424,2,-9.1602
US-2016-125969,11/6/2016,LS-16975,Home Office,Furniture,Furnishings,238.56,3,26.2416
US-2017-164147,2/2/2017,DW-13585,Corporate,Technology,Phones,59.97,5,-11.994
US-2017-164147,2/2/2017,DW-13585,Corporate,Office Supplies,Paper,78.304,2,29.364
US-2017-164147,2/2/2017,DW-13585,Corporate,Office Supplies,Fasteners,21.456,9,6.9732
CA-2016-145583,10/13/2016,LC-16885,Consumer,Office Supplies,Paper,20.04,3,9.6192
CA-2016-145583,10/13/2016,LC-16885,Consumer,Office Supplies,Paper,35.44,1,16.6568
CA-2016-145583,10/13/2016,LC-16885,Consumer,Office Supplies,Art,11.52,4,3.456
CA-2016-145583,10/13/2016,LC-16885,Consumer,Office Supplies,Fasteners,4.02,2,1.9698
CA-2016-145583,10/13/2016,LC-16885,Consumer,Office Supplies,Binders,76.176,3,26.6616
CA-2016-145583,10/13/2016,LC-16885,Consumer,Office Supplies,Supplies,65.88,6,18.4464
CA-2016-145583,10/13/2016,LC-16885,Consumer,Furniture,Furnishings,43.12,14,20.6976
CA-2016-110366,9/5/2016,JD-15895,Corporate,Furniture,Furnishings,82.8,2,10.35
CA-2017-106180,9/18/2017,SH-19975,Corporate,Office Supplies,Art,8.82,3,2.3814
CA-2017-106180,9/18/2017,SH-19975,Corporate,Office Supplies,Envelopes,10.86,3,5.1042
CA-2017-106180,9/18/2017,SH-19975,Corporate,Office Supplies,Paper,143.7,3,68.976
CA-2017-155376,12/22/2017,SG-20080,Consumer,Office Supplies,Appliances,839.43,3,218.2518
CA-2015-110744,9/7/2015,HA-14920,Consumer,Office Supplies,Storage,671.93,7,20.1579
CA-2014-110072,10/22/2014,MG-17680,Home Office,Furniture,Furnishings,93.888,4,12.9096
CA-2016-114489,12/5/2016,JE-16165,Corporate,Technology,Phones,384.45,11,103.8015
CA-2016-114489,12/5/2016,JE-16165,Corporate,Technology,Phones,149.97,3,5.9988
CA-2016-114489,12/5/2016,JE-16165,Corporate,Furniture,Chairs,1951.84,8,585.552
CA-2016-114489,12/5/2016,JE-16165,Corporate,Office Supplies,Binders,171.55,5,80.6285
CA-2016-158834,3/13/2016,TW-21025,Home Office,Office Supplies,Appliances,157.92,5,17.766
CA-2016-158834,3/13/2016,TW-21025,Home Office,Technology,Phones,203.184,2,15.2388
CA-2015-124919,5/31/2015,SP-20650,Corporate,Office Supplies,Paper,58.38,7,26.271
CA-2015-124919,5/31/2015,SP-20650,Corporate,Office Supplies,Paper,105.52,4,48.5392
CA-2015-124919,5/31/2015,SP-20650,Corporate,Office Supplies,Storage,80.88,6,21.0288
CA-2015-118948,5/28/2015,NK-18490,Home Office,Office Supplies,Art,6.63,3,1.7901
CA-2014-104269,3/1/2014,DB-13060,Consumer,Furniture,Chairs,457.568,2,51.4764
CA-2016-114104,11/20/2016,NP-18670,Consumer,Office Supplies,Labels,14.62,2,6.8714
CA-2016-114104,11/20/2016,NP-18670,Consumer,Technology,Phones,944.93,7,236.2325
CA-2016-162733,5/11/2016,TT-21070,Consumer,Office Supplies,Paper,5.98,1,2.691
CA-2015-119697,12/28/2015,EM-13960,Consumer,Technology,Accessories,54.384,2,1.3596
CA-2016-154508,11/16/2016,RD-19900,Consumer,Office Supplies,Envelopes,28.4,5,13.348
CA-2016-113817,11/7/2016,MJ-17740,Consumer,Office Supplies,Binders,27.68,2,9.688
CA-2014-139892,9/8/2014,BM-11140,Consumer,Office Supplies,Art,9.936,3,2.7324
CA-2014-139892,9/8/2014,BM-11140,Consumer,Technology,Machines,8159.952,8,-1359.992
CA-2014-139892,9/8/2014,BM-11140,Consumer,Office Supplies,Storage,275.928,3,-58.6347
CA-2014-139892,9/8/2014,BM-11140,Consumer,Furniture,Chairs,1740.06,9,-24.858
CA-2014-139892,9/8/2014,BM-11140,Consumer,Office Supplies,Art,32.064,6,6.8136
CA-2014-139892,9/8/2014,BM-11140,Consumer,Office Supplies,Appliances,177.98,5,-453.849
CA-2014-139892,9/8/2014,BM-11140,Consumer,Technology,Phones,143.976,3,8.9985
CA-2014-118962,8/5/2014,CS-12130,Consumer,Office Supplies,Paper,20.94,3,9.8418
CA-2014-118962,8/5/2014,CS-12130,Consumer,Office Supplies,Paper,110.96,2,53.2608
CA-2014-118962,8/5/2014,CS-12130,Consumer,Furniture,Chairs,340.144,7,21.259
US-2014-100853,9/14/2014,JB-15400,Corporate,Office Supplies,Appliances,52.448,2,-131.12
US-2014-100853,9/14/2014,JB-15400,Corporate,Office Supplies,Labels,20.16,4,6.552
US-2017-152366,4/21/2017,SJ-20500,Consumer,Office Supplies,Appliances,97.264,4,-243.16
US-2015-101511,11/21/2015,JE-15745,Consumer,Furniture,Chairs,396.802,7,-11.3372
US-2015-101511,11/21/2015,JE-15745,Consumer,Office Supplies,Supplies,15.88,5,-3.7715
CA-2015-137225,12/15/2015,JK-15640,Home Office,Office Supplies,Art,3.28,1,1.4104
CA-2014-166191,12/5/2014,DK-13150,Corporate,Office Supplies,Storage,24.816,2,1.8612
CA-2014-166191,12/5/2014,DK-13150,Corporate,Technology,Accessories,408.744,7,76.6395
CA-2014-158274,11/19/2014,RM-19675,Home Office,Technology,Phones,503.96,4,131.0296
CA-2014-158274,11/19/2014,RM-19675,Home Office,Technology,Phones,149.95,5,41.986
CA-2014-158274,11/19/2014,RM-19675,Home Office,Technology,Accessories,29,2,7.25
CA-2016-105018,11/28/2016,SK-19990,Consumer,Office Supplies,Binders,7.16,2,3.4368
CA-2014-123260,8/26/2014,FM-14290,Home Office,Technology,Accessories,176.8,8,22.984
CA-2016-157000,7/16/2016,AM-10360,Corporate,Office Supplies,Storage,37.224,3,3.7224
CA-2016-157000,7/16/2016,AM-10360,Corporate,Office Supplies,Paper,20.016,3,6.255
CA-2015-102281,10/12/2015,MP-17470,Home Office,Furniture,Bookcases,899.136,4,112.392
CA-2015-102281,10/12/2015,MP-17470,Home Office,Technology,Phones,71.76,6,20.0928
CA-2015-102281,10/12/2015,MP-17470,Home Office,Office Supplies,Paper,51.84,8,24.8832
CA-2015-102281,10/12/2015,MP-17470,Home Office,Furniture,Bookcases,626.352,3,46.9764
CA-2015-102281,10/12/2015,MP-17470,Home Office,Office Supplies,Art,19.9,5,6.567
CA-2015-131457,10/31/2015,MZ-17515,Corporate,Office Supplies,Envelopes,14.28,7,6.7116
CA-2014-140004,3/21/2014,CB-12025,Consumer,Office Supplies,Art,7.408,2,1.2038
CA-2014-140004,3/21/2014,CB-12025,Consumer,Office Supplies,Art,6.048,3,1.5876
CA-2017-107720,11/6/2017,VM-21685,Home Office,Office Supplies,Storage,46.26,3,12.0276
US-2017-124303,7/6/2017,FH-14365,Corporate,Office Supplies,Binders,2.946,2,-2.2586
US-2017-124303,7/6/2017,FH-14365,Corporate,Office Supplies,Paper,16.056,3,5.8203
CA-2017-105074,6/24/2017,MB-17305,Consumer,Office Supplies,Paper,21.744,3,6.795
CA-2014-133690,8/3/2014,BS-11755,Consumer,Furniture,Tables,218.75,2,-161.875
CA-2014-133690,8/3/2014,BS-11755,Consumer,Office Supplies,Appliances,2.6,1,0.2925
US-2017-116701,12/17/2017,LC-17140,Consumer,Office Supplies,Appliances,66.284,2,-178.9668
CA-2017-126382,6/3/2017,HK-14890,Corporate,Furniture,Furnishings,35.168,7,9.6712
CA-2017-108329,12/9/2017,LE-16810,Consumer,Technology,Phones,444.768,4,44.4768
CA-2017-135860,12/1/2017,JH-15985,Consumer,Office Supplies,Storage,83.92,4,5.8744
CA-2017-135860,12/1/2017,JH-15985,Consumer,Technology,Phones,131.98,2,35.6346
CA-2017-135860,12/1/2017,JH-15985,Consumer,Office Supplies,Binders,15.92,4,7.4824
CA-2017-135860,12/1/2017,JH-15985,Consumer,Office Supplies,Fasteners,52.29,9,16.2099
CA-2017-135860,12/1/2017,JH-15985,Consumer,Office Supplies,Storage,91.99,1,3.6796
CA-2015-101007,2/9/2015,MS-17980,Corporate,Technology,Accessories,20.8,2,6.5
CA-2015-146262,1/2/2015,VW-21775,Corporate,Office Supplies,Labels,23.68,2,8.88
CA-2015-146262,1/2/2015,VW-21775,Corporate,Furniture,Bookcases,452.45,5,-244.323
CA-2015-146262,1/2/2015,VW-21775,Corporate,Technology,Phones,62.982,3,-14.6958
CA-2015-146262,1/2/2015,VW-21775,Corporate,Technology,Machines,1188,9,-950.4
CA-2015-146262,1/2/2015,VW-21775,Corporate,Technology,Accessories,89.584,2,4.4792
CA-2016-130162,10/28/2016,JH-15910,Consumer,Office Supplies,Storage,93.06,6,26.0568
CA-2016-130162,10/28/2016,JH-15910,Consumer,Technology,Phones,302.376,3,22.6782
CA-2015-169397,12/24/2015,JB-15925,Consumer,Office Supplies,Fasteners,5.584,2,1.8148
CA-2015-169397,12/24/2015,JB-15925,Consumer,Office Supplies,Paper,22.704,6,8.2302
CA-2015-169397,12/24/2015,JB-15925,Consumer,Office Supplies,Binders,19.776,4,-13.8432
CA-2015-169397,12/24/2015,JB-15925,Consumer,Furniture,Furnishings,72.704,4,19.0848
CA-2015-169397,12/24/2015,JB-15925,Consumer,Technology,Machines,479.988,4,-383.9904
CA-2015-169397,12/24/2015,JB-15925,Consumer,Office Supplies,Art,27.168,2,2.7168
CA-2015-163055,8/9/2015,DS-13180,Corporate,Office Supplies,Art,2.2,1,0.968
CA-2015-163055,8/9/2015,DS-13180,Corporate,Furniture,Tables,622.45,5,136.939
CA-2015-163055,8/9/2015,DS-13180,Corporate,Office Supplies,Storage,21.98,1,0.2198
US-2015-145436,2/28/2015,VD-21670,Consumer,Furniture,Chairs,161.568,2,-28.2744
US-2015-145436,2/28/2015,VD-21670,Consumer,Furniture,Chairs,389.696,8,43.8408
US-2014-156216,9/13/2014,EA-14035,Corporate,Office Supplies,Binders,18.648,7,-12.432
US-2017-100930,4/7/2017,CS-12400,Home Office,Furniture,Tables,233.86,2,-102.048
US-2017-100930,4/7/2017,CS-12400,Home Office,Furniture,Tables,620.6145,3,-248.2458
US-2017-100930,4/7/2017,CS-12400,Home Office,Office Supplies,Binders,5.328,2,-3.552
US-2017-100930,4/7/2017,CS-12400,Home Office,Furniture,Furnishings,258.072,3,0
US-2017-100930,4/7/2017,CS-12400,Home Office,Technology,Accessories,617.976,3,-7.7247
CA-2017-160514,11/12/2017,DB-13120,Corporate,Office Supplies,Paper,10.56,2,4.752
CA-2016-157749,6/4/2016,KL-16645,Consumer,Office Supplies,Paper,25.92,5,9.396
CA-2016-157749,6/4/2016,KL-16645,Consumer,Furniture,Furnishings,419.68,5,-356.728
CA-2016-157749,6/4/2016,KL-16645,Consumer,Furniture,Furnishings,11.688,3,-4.6752
CA-2016-157749,6/4/2016,KL-16645,Consumer,Technology,Phones,31.984,2,11.1944
CA-2016-157749,6/4/2016,KL-16645,Consumer,Furniture,Tables,177.225,5,-120.513
CA-2016-157749,6/4/2016,KL-16645,Consumer,Furniture,Furnishings,4.044,3,-2.8308
CA-2016-157749,6/4/2016,KL-16645,Consumer,Office Supplies,Art,7.408,2,1.2038
CA-2014-131926,6/1/2014,DW-13480,Home Office,Furniture,Chairs,2001.86,7,580.5394
CA-2014-131926,6/1/2014,DW-13480,Home Office,Office Supplies,Storage,166.72,2,41.68
CA-2014-131926,6/1/2014,DW-13480,Home Office,Office Supplies,Paper,47.88,6,23.94
CA-2014-131926,6/1/2014,DW-13480,Home Office,Office Supplies,Appliances,1503.25,5,496.0725
CA-2014-131926,6/1/2014,DW-13480,Home Office,Office Supplies,Paper,25.92,4,12.4416
CA-2016-154739,12/10/2016,LH-17155,Consumer,Furniture,Chairs,321.568,2,28.1372
CA-2016-145625,9/11/2016,KC-16540,Consumer,Office Supplies,Paper,7.61,1,3.5767
CA-2016-145625,9/11/2016,KC-16540,Consumer,Technology,Accessories,3347.37,13,636.0003
CA-2016-146941,12/10/2016,DL-13315,Consumer,Office Supplies,Storage,80.58,6,22.5624
CA-2016-146941,12/10/2016,DL-13315,Consumer,Office Supplies,Envelopes,361.92,4,162.864
US-2015-159982,11/28/2015,DR-12880,Corporate,Furniture,Furnishings,12.132,9,-8.4924
US-2015-159982,11/28/2015,DR-12880,Corporate,Office Supplies,Storage,82.368,2,-19.5624
US-2015-159982,11/28/2015,DR-12880,Corporate,Office Supplies,Storage,53.92,5,4.044
US-2015-159982,11/28/2015,DR-12880,Corporate,Technology,Phones,647.904,6,56.6916
CA-2017-163139,12/1/2017,CC-12670,Consumer,Technology,Accessories,20.37,3,6.9258
CA-2017-163139,12/1/2017,CC-12670,Consumer,Office Supplies,Storage,221.55,3,6.6465
CA-2017-163139,12/1/2017,CC-12670,Consumer,Office Supplies,Binders,17.52,5,6.132
US-2017-155299,6/8/2017,Dl-13600,Corporate,Office Supplies,Appliances,1.624,2,-4.466
US-2014-106992,9/19/2014,SB-20290,Corporate,Technology,Machines,3059.982,3,-509.997
US-2014-106992,9/19/2014,SB-20290,Corporate,Technology,Machines,2519.958,7,-251.9958
CA-2016-125318,6/6/2016,RC-19825,Consumer,Technology,Phones,328.224,4,28.7196
CA-2015-155040,11/10/2015,AH-10210,Consumer,Technology,Accessories,79.9,2,35.156
CA-2017-136826,6/16/2017,CB-12535,Corporate,Office Supplies,Art,14.016,3,4.7304
CA-2016-111010,1/22/2016,PG-18895,Consumer,Office Supplies,Fasteners,7.56,6,0.3024
US-2017-145366,12/9/2017,CA-12310,Corporate,Office Supplies,Storage,37.208,1,-7.4416
US-2017-145366,12/9/2017,CA-12310,Corporate,Office Supplies,Envelopes,57.576,3,21.591
CA-2017-163979,12/28/2017,KH-16690,Corporate,Office Supplies,Storage,725.84,4,210.4936
CA-2015-155334,7/30/2015,HA-14920,Consumer,Technology,Accessories,209.93,7,92.3692
CA-2015-155334,7/30/2015,HA-14920,Consumer,Furniture,Furnishings,5.28,3,2.3232
CA-2015-155334,7/30/2015,HA-14920,Consumer,Office Supplies,Binders,10.92,3,4.095
CA-2017-118136,9/16/2017,BB-10990,Corporate,Office Supplies,Paper,8.82,2,4.0572
CA-2017-118136,9/16/2017,BB-10990,Corporate,Office Supplies,Art,5.98,1,1.5548
CA-2017-132976,10/13/2017,AG-10495,Corporate,Office Supplies,Paper,11.648,2,4.0768
CA-2017-132976,10/13/2017,AG-10495,Corporate,Office Supplies,Paper,18.176,4,5.9072
CA-2017-132976,10/13/2017,AG-10495,Corporate,Office Supplies,Storage,59.712,6,5.9712
CA-2017-132976,10/13/2017,AG-10495,Corporate,Office Supplies,Labels,24.84,3,8.694
US-2015-161991,9/26/2015,SC-20725,Consumer,Office Supplies,Binders,2.08,5,-3.432
US-2015-161991,9/26/2015,SC-20725,Consumer,Technology,Phones,1114.4,7,376.11
CA-2015-130890,11/2/2015,JO-15280,Consumer,Furniture,Tables,1038.84,5,51.942
CA-2015-130883,9/26/2015,TB-21520,Consumer,Office Supplies,Paper,141.76,5,47.844
CA-2015-130883,9/26/2015,TB-21520,Consumer,Technology,Accessories,239.8,5,47.96
CA-2015-130883,9/26/2015,TB-21520,Consumer,Office Supplies,Paper,31.104,6,10.8864
CA-2016-112697,12/18/2016,AH-10195,Corporate,Office Supplies,Binders,254.058,7,-169.372
CA-2016-112697,12/18/2016,AH-10195,Corporate,Office Supplies,Appliances,194.528,2,24.316
CA-2016-112697,12/18/2016,AH-10195,Corporate,Office Supplies,Supplies,961.48,5,-204.3145
